video_id,date,time,topic,title,channel,view_count,like_count,comment_count
QFbE-DvcwyM,11/4/24,11:00:18 PM,conflict/war,Eminem: Punchlines and Punches - Comedy in Conflict (New Song),Music and Roll,544,13,1
CzdoQIhhMNw,11/4/24,11:00:26 PM,election,Voter Fraud EXPOSED: Australian Woman ARRESTED for Rigging Election!,De Mar X,950066,17600,8091
dpLD2DmJIcg,11/4/24,11:31:41 PM,election,"Dads on Election Day ""Vote Midwest Nice"" #shorts",Charlie Berens,4307654,244177,3345
T3DrvVfe2EA,11/5/24,12:00:17 AM,election,Megyn Kelly Reveals What Happened on Election Night 2016 When Decision Desk Brought First Results In,Megyn Kelly,598450,36258,585
D_i1BeGRN5w,11/5/24,12:07:07 AM,immigration,What could a Harris presidency mean for your immigration journey in 2024? While there may be,Abhisha Parikh,6560,104,17
FjaMn_gY0IE,11/5/24,12:07:07 AM,immigration,What could a Harris administration mean for immigration policy in 2024? You might want to prepare,Abhisha Parikh,6756,78,35
C-4adOBsTU4,11/5/24,12:49:04 AM,election,How young people in Michigan see the election,NBC News,11463,46,14
5OGYT8OkAVo,11/5/24,12:54:25 AM,election,How to track the presidential race polls on Election Night #shorts,Face the Nation,35511,391,29
r_K3Pg5LhRs,11/5/24,1:00:43 AM,election,The Game Where You Run Your OWN Election!,KamSandwich,235037,8504,754
i81CXpfoVW0,11/5/24,2:08:26 AM,immigration,Green Card Options for Undocumented Immigrants Married to U.S. Citizens } US/NYC Immigration Lawyer,Gehi & Associates - US Immigration Law Firm,5607,66,2
da2xVo7hvPg,11/5/24,2:22:41 AM,election,'F around and find out': Philly DA on election interference,MS NOW,967198,62732,5176
gKUBIV-E-Fc,11/5/24,2:47:12 AM,immigration,Trump's Surprising Immigration Plan: Green Card for College Graduates,Ashoori Law,96460,907,163
Zh_scIUkLQY,11/5/24,3:09:30 AM,election,2024 U.S. Presidential Election now one day away,THV11,43552,556,170
Bdtm0vJtyyU,11/5/24,3:12:28 AM,immigration,Do Not Vote Unless You’re a US Citizen #immigration #mcbeanlaw,McBean Immigration TV,13648,348,28
mD_wPdINPDI,11/5/24,3:55:03 AM,election,"TUESDAY: Vote For America 2024 Election Coverage on NEWSMAX, 5 PM ET",Newsmax,13502,760,22
PSorQGIQcM4,11/5/24,3:57:58 AM,immigration,Top 5 K1 Fiancé Visa Interview Questions. #k1 #k1visa #fiancevisa,Dr. Jae Francis Immigration,30924,769,18
QLilxzbKvmY,11/5/24,4:45:29 AM,election,'F around and find out': Philadelphia DA issues stark warning for Election Day,CNN,171225,7296,661
sB7A2nt167Y,11/5/24,5:09:55 AM,election,US Election 2024 | Details About Polling | Trump Vs Kamala Harris | Samaa TV,SAMAA TV,20063,198,33
JLih2WiA7mo,11/5/24,5:19:34 AM,conflict/war,Conflict points & Bengaluru traffic,Bengawalk,17815,1106,23
OT80oyGp4hE,11/5/24,5:52:19 AM,election,미국 대통령 선거제도 1분 요약,사람사는세상노무현재단 RohMoohyunFoundation,533152,8083,206
dwLSvw3Jjtc,11/5/24,6:53:46 AM,election,Countdown to the 2024 election: Election eve | MSNBC Highlights,MS NOW,755423,8060,1711
1ukcjLa5A2U,11/5/24,7:00:24 AM,conflict/war,✨ What is Conflict Analysis and Resolution (CONF) Major? ✨,PACSC Asia,59,3,0
koLj-uxYDLw,11/5/24,8:21:49 AM,immigration,My USA Immigration Process at Abu Dhabi Airport | What Asian Travelers Must Know ! S1.EP.1-2,Travel_with_Rana,2826,15,3
ORwV-4qNGQk,11/5/24,10:27:47 AM,conflict/war,Разбор конфликта ФБК и Каца,Александр Штефанов,1355194,33945,4399
g8XbxdJjaiQ,11/5/24,1:00:59 PM,immigration,Will the issue of immigration decide the US election? Watch more on @dwnews @DWDocumentary,DW Spotlight,829,11,2
2l0xpqbdVZA,11/5/24,1:21:02 PM,conflict/war,Predicting the Russia-Ukraine war  #podcast #conflict #election2024 #stockmarket #news,Capital Horizons - The Podcast,523,2,0
H23X3JS-P1A,11/5/24,1:47:33 PM,immigration,cambodia work visa cambodia immigration cambodia jobs scan cambodia Complete information Pakistan,Zohaib Atta Samundri,22192,507,59
Zv1SV852rN0,11/5/24,1:55:00 PM,immigration,"Immigrants, did you know about this EASY way to get your marriage based case approved faster? 👀l",Odunlami Law Firm LLC,29025,638,34
IEKVsLIY3jI,11/5/24,1:57:24 PM,immigration,Exposing the Chandigarh-Mohali Canada Visa Scam,TDOT WAALE PAJI,44804,871,96
9_tXp5sFlHQ,11/5/24,2:00:09 PM,immigration,Japan's Problem with Immigration / 日本の移民問題,Dogen,148512,8322,1818
baxvmStb-rA,11/5/24,2:30:17 PM,conflict/war,Middle East Conflict : Israel-Gaza-Lebanon-Iran Conflict Places in News | UPSC Current Affairs,Sudarshan Gurjar Unacademy,84149,5857,228
jxjN3bbcYGo,11/5/24,2:57:45 PM,conflict/war,❄️ Uncover Hidden Causes of Conflict with the Iceberg Model! #resolveconflicts #conflictresolution,The 4 Habits - w/ Dr. Andrea & Jon Taylor-Cummings,141,1,0
U3k-rUgFY7k,11/5/24,3:20:28 PM,immigration,Migrant shelter with children awaits results of U.S. election #shorts,CBS News,2312,62,15
3cr637OxR4s,11/5/24,3:47:36 PM,conflict/war,Lives on the Line: Israel & Palestine Conflict Explained,Do You Know?,560,23,2
q7KukaBig_o,11/5/24,4:15:05 PM,immigration,Georgia voters say the economy & illegal immigration are their top priorities,Fox News,13546,473,85
yYLazvMXn7U,11/5/24,4:30:14 PM,election,How Kamala Harris and Donald Trump's US election campaigns unfolded | BBC News,BBC News,101546,1009,486
10eFCiIVU3Q,11/5/24,4:35:10 PM,election,Oprah’s dire warning to Americans one day before 2024 #election #politics #news,WCNC,29394,326,244
2v-FVgwcY0U,11/5/24,4:59:14 PM,election,ELECTION DAY!! My Prediction And More,Ben Shapiro,730306,20334,2040
dqhnHgmVTdk,11/5/24,5:30:07 PM,election,When Election Day Polls Close Across the US,Bloomberg News,6615,94,4
ySFj0cIiQVw,11/5/24,6:04:48 PM,election,"Donald Trump says he will concede the #election to Kamala Harris ""if it's a fair election.""",NBC News,158246,3388,487
2o5s4OmE8iM,11/5/24,6:10:19 PM,election,Joe bartolozzi loves Kamala 🇺🇸🌎#trump #kamalaharris #election #vote #joebartolozzi #joe #fyp,Notta ,32980,1043,392
zBvB6ANaY90,11/5/24,6:10:49 PM,election,Have you cast your vote? 🗳️ Stream #Election for free on Pluto TV. #election2024 #movies #shorts,Pluto TV,11831,268,2
6tt0s2-zu4w,11/5/24,6:14:29 PM,conflict/war,The danger of the word 'no'! #communication #conflict #communicationskills #directcommunication,Canadian Dream Podcast,445,8,0
6qMhAYYXKZA,11/5/24,6:15:40 PM,election,Cenk Uygur's 2024 Election Prediction,The Young Turks,236339,3803,2883
LyqJaSCG1wQ,11/5/24,6:22:04 PM,conflict/war,#GeorgeGalloway#palestine#israel#Galloway#sinwar#conflict#,Intense politics,3719,216,9
KvTg8d8OhTg,11/5/24,6:31:58 PM,immigration,NOUVEAU PROGRAMME D'IMMIGRATION GRATUIT EN AUSTRALIE 🇦🇺 AVEC TA FAMILLE,Destination Ailleurs,23925,711,113
TUhibeuef6g,11/5/24,7:00:22 PM,election,US Election 2024 | What will Trump victory do to American universities ? | Breaking News,Geo News,18033,273,9
o3CZZKKuR8Y,11/5/24,7:00:24 PM,conflict/war,Conflict - Good or Bad?,"Juggling Life, Finding Balance",311,2,0
yWOzSXCkOFM,11/5/24,7:28:12 PM,election,#Celebrities Cast Their #Vote for the 2024 #Election #KamalaHarris #DonaldTrump #shorts,The Hollywood Reporter,21350,391,65
A0Uj2K0hlh0,11/5/24,7:30:02 PM,election,"US Election 2024 | Donald Trump's immigration, visa policy in the United States",Geo News,7531,106,0
FDRoQ68bkEA,11/5/24,7:30:04 PM,conflict/war,Blinken Urges Iraq to Avoid Regional Conflict #usa #iraq #conflict #gaza,The Event Report,486,4,0
RGuCJku5pKw,11/5/24,7:44:06 PM,immigration,MAGA Brains Explode as I Explain How Undocumented Immigrants Pay Taxes,Walter Masterson,2405039,57147,15712
_f56uSuNS4c,11/5/24,7:48:40 PM,election,Republican JD Vance casts Election Day ballot | USA TODAY,USA TODAY,24787,256,135
4Oi01SIcnyA,11/5/24,7:56:22 PM,election,How election races are called by the Associated Press,KOMO News,13312,222,35
wLf9mvVGG5Q,11/5/24,8:00:25 PM,election,Trump Says Pennsylvania Vote Count Could Take '2 or 3 Days',Bloomberg News,9481,225,73
q8aky3hWXik,11/5/24,8:00:26 PM,election,"When we vote, we win.",Kamala Harris,170100,8661,973
9y5VpeeJQQw,11/5/24,8:09:05 PM,conflict/war,#JeffreySachs#israel#iraq#palestine#netanyahu#conflict#middleeast,Intense politics,8705,437,31
c-_teZ2dulY,11/5/24,9:00:23 PM,election,"""When the time came to cast our votes...""| ELECTION | MUBI",MUBI,16268,511,6
mViWZGr0WIs,11/5/24,9:00:34 PM,election,"Get out there and vote, America.",Kamala Harris,209062,10791,2108
w5sVL03lLxY,11/5/24,9:00:38 PM,election,Swing State Voters Head to the Polls on Election Day,Bloomberg News,7631,95,6
JP8WiZfOnwc,11/5/24,9:40:14 PM,election,"On Election Day, voters from several key swing states shared who they chose at the poll #Shorts",USA TODAY,8393,214,40
ExeVtOWSyHI,11/5/24,9:52:42 PM,election,Americans head to the polls to vote their next President,K24TV,35,0,0
tICE5uYIKoc,11/5/24,9:56:29 PM,conflict/war,The Deadliest Conflict in History: WWII #facts #history #shortvideo #shortvideo #shorts  #reels,The fact,418,17,1
ZABYs2E85WM,11/5/24,10:03:05 PM,immigration,Trump’s Immigration Policies Made America Less Safe,The Cato Institute,1165,20,14
8r9NRtUX0Hc,11/5/24,10:22:11 PM,election,America Votes: US election night kicks off on Sky News,Sky News,20040,91,52
vQID5o_Kl1o,11/5/24,10:35:12 PM,election,Trump says he’ll accept losing to Harris if #election is ‘fair’ #politics #news,WCNC,8165,468,14
Ia39C9kOR_o,11/5/24,10:55:00 PM,conflict/war,Facing Conflict with Clarity // Jordan Peterson,𝐉𝐨𝐫𝐝𝐚𝐧 𝐏𝐞𝐭𝐞𝐫𝐬𝐨𝐧'𝐬 𝐂𝐨𝐫𝐧𝐞𝐫,5588,188,0
nSaO8QvEIfk,11/5/24,11:29:34 PM,immigration,Why this Russian immigrant hates illegal immigration,CBS TEXAS,4566,187,40
F9e4yjGyUs8,11/5/24,11:54:32 PM,election,Fox News 'Democracy 24' election night cold open intro,NCS | NewscastStudio,27479,0,13
sAmC9FDX4aE,11/6/24,12:13:38 AM,election,US Election Livestream: America Decides,The Rest Is Politics,1203918,9994,561
aLBUKIliVas,11/6/24,12:25:45 AM,election,Early election night analysis: Harris vs Trump polls,ABC News,563732,2622,1570
nmT2b9iEy40,11/6/24,12:36:39 AM,immigration,Come Legally or Not At All’: Dominik Tarczyński on Poland’s Stand Against Illegal Migration!,Shocixy,178237,13750,763
hDyqzIZUUb4,11/6/24,12:55:48 AM,election,No Matter Who Is President Jesus Is King ✝️ #shorts #jesus #god,MMA_INF,2968598,189019,7816
ZP-0wlWgqoA,11/6/24,1:01:44 AM,conflict/war,Common Causes of Family Business Conflict. Ep. 1,The Solutionist Group,42,0,0
niRfbp1-nwE,11/6/24,1:16:34 AM,election,"2024 Election: Projections for Ala., Fla., Md., Okla., D.C., Mo., Mass., Tenn.",ABC News,627961,2380,1042
vd-jETMdTWY,11/6/24,1:38:58 AM,election,Don’t be Larry David #vote #election  #trend#trendingshorts,Factazoid Frenzy,10686,186,6
u9-6G0CaL14,11/6/24,2:00:08 AM,election,80-90% Drip irrigation subsidy 🌱#drip #dharani #election #usa #government,Telugu Farmer,67202,1278,10
XoM5Jbtk0bw,11/6/24,2:10:49 AM,immigration,REACTIONS: Should Illegal Immigrants Be Allowed to Vote?,PragerU,17833,1247,60
3WTh39JWw_w,11/6/24,2:30:36 AM,election,Look inside Kamala Harris's election night watch party at Howard University | NBC4 Washington,NBC4 Washington,11344,158,126
NptviYikxDA,11/6/24,2:44:41 AM,election,योगी टकला कान खोलकर सुनो/Imtiaz Jaleel/Akbaruddin Owaisi/Yogi/Maharashtra Election/Aam Khas Maidan,Apna Mushaira Media,777075,5703,234
61XbUJsqSf4,11/6/24,4:04:08 AM,election,2024 Election: Donald Trump projected to win Iowa,ABC News,196264,3787,941
FkdLt8N2Tu8,11/6/24,4:05:54 AM,election,Update: Democrats failing to reproduce Biden's 2020 success | US Election 2024,Sky News,162772,702,406
284VFHrO8Nc,11/6/24,4:18:53 AM,election,Tucker Carlson Election Night LIVE From Mar-a-Lago With Special Guests,Tucker Carlson,3484162,115330,4693
rWTL3hYXCv0,11/6/24,4:20:14 AM,election,2024 Election 🇺🇸🦅 TRUMP vs KAMALA🥚HOSTED BY THE EGG🥚,steak,170297,6626,723
dGyGOwLNQUg,11/6/24,4:23:14 AM,election,Elon Musk supporting Trump at Mar-a-Lago on Election Night,Daily Mail World,820785,29921,777
SBarrZ4Cp1s,11/6/24,4:24:56 AM,election,"US Presidential Election Results पर बीबीसी हिन्दी का ख़ास कार्यक्रम, आज शाम साढ़े छह बजे...",BBC News Hindi,30167,0,28
AbFPHfqtG1c,11/6/24,4:28:29 AM,immigration,Sen. Ted Cruz speaks after winning re-election in Texas,NBC News,17930,548,101
BjzbEQs0j3g,11/6/24,4:33:59 AM,election,Americans in Singapore gather for US election watch party,CNA,12276,163,9
IAIM3xIyALs,11/6/24,4:35:39 AM,election,WATCH: Donald Trump arrives at his Mar-a-Lago election night party #shorts,New York Post,139608,6886,345
1stJ9agSVn0,11/6/24,4:46:17 AM,election,SOME MORE NEWS Election 2024 Livestream,Some More News,284766,7233,1025
jl7kO7WC_SM,11/6/24,4:47:16 AM,election,"LIVE 2024 Election Results: Trump vs Harris, Senate, House",David Pakman Show,1666650,20346,4927
KLUtgMneC4Y,11/6/24,4:52:26 AM,election,Trump HQ on election night,NBC News,13113,185,13
EQkC2rRlH_4,11/6/24,5:09:57 AM,election,Election Night Live Coverage: America's Vote 2024,The Hill,121416,647,157
rtJ7MP1NQTo,11/6/24,5:15:25 AM,election,The Breakfast Club x Native Land Pod | LIVE Election Night Coverage at Harris Campaign HQ,Breakfast Club Power 105.1 FM,249602,3442,1522
b3sdQpHAXic,11/6/24,5:23:45 AM,election,Awkward Moments You Missed From US Election Night 2024,On Demand News,494591,3890,969
kkcqIvui_Uo,11/6/24,5:24:19 AM,election,Decision 2024: Live Election Night coverage from battleground Pennsylvania | NBC10 Philadelphia,NBC10 Philadelphia,75757,459,5
euWFUGsC6u0,11/6/24,5:26:58 AM,election,LIVE Election Night Celebration/Meltdown - H3 Show #76,H3 Podcast,692267,12889,2166
HmR3cBb8L7E,11/6/24,5:34:14 AM,election,US Election 2024 Current Situation #uselection2024,Geo News,16661,335,9
yEiLtc_XwK0,11/6/24,5:40:35 AM,election,Breaking Points LIVE 2024 Election Coverage,Breaking Points,1723256,18850,2266
ApdedU3xdnk,11/6/24,5:43:58 AM,election,US Election 2024 Live Updates - Big Shock to Kamala - Donald Trump Ahead,Geo News,9274,139,6
XLiagIdA84c,11/6/24,5:46:04 AM,election,Jon Stewart’s Election Night Takeaway | The Daily Show,The Daily Show,5627900,138753,30648
YGITCugbyQY,11/6/24,5:56:42 AM,election,"Kamala Harris won't address supporters on Election Night, campaign chair announces",ABC News,152102,576,1627
D4Xaqgd9-Ro,11/6/24,5:58:06 AM,election,2024 Election Night Livestream with the Besties!,All-In Podcast,499290,7440,250
WSBlJ2yAvPg,11/6/24,6:00:04 AM,election,Inside Harris headquarters on election night in Washington D.C,NBC News,56772,320,409
sT5Aqj2dUKA,11/6/24,6:14:05 AM,election,🔴 LIVE 2024 Election Night Coverage,Allan Lichtman,1408349,22209,13058
MeHRWHhPK5w,11/6/24,6:17:00 AM,election,Shorts: ट्रंप की पहली बड़ी जीत | US Election Results LIVE Update | Trump Wins | Kamala Harris,Zee News,27498,277,0
C04zoh7VfGM,11/6/24,6:21:01 AM,immigration,We are finally a permanent resident in Canada 🇨🇦 | #indianbloggerincanada,Indian Blogger in Canada ,177252,2933,150
MU6bS-sx_yU,11/6/24,6:21:23 AM,election,Election Night with The Free Press!,The Free Press,367061,4716,367
YTBWBXcpp78,11/6/24,6:31:08 AM,election,Kamala Harris not speaking on election night,Reuters,61365,800,0
poz4VGcJHTc,11/6/24,6:32:24 AM,election,LIVE: HARRIS TRUMP ELECTION RESULTS 2024,Philip DeFranco,1664135,22649,4077
ZjMAfRq7V_s,11/6/24,6:36:32 AM,election,Jon Stewart and The Best F**king News Team Take on Election Night 2024 | The Daily Show,The Daily Show,3861892,62716,10347
A3AXszRgX7I,11/6/24,6:41:57 AM,election,Donald Trump wins the 2024 US election,Sky News Australia,1070159,26005,8770
o3oa_uZYzJE,11/6/24,6:53:25 AM,election,Trump’s Victory is Sealed!,Valuetainment,3395265,267764,11748
Rh--XI6Edzw,11/6/24,7:00:22 AM,immigration,মালয়েশিয়ার কলিং ভিসার অফিসিয়াল ঘোষণা/Malaysia calling visa update 2024! Malaysia Replacement visa,ovizatry tours & students,23738,255,0
_01GtktqbE8,11/6/24,7:02:55 AM,election,US ELECTION WINNER CALLED,Asmongold Clips,1079280,34601,5907
2gTkZs-9-Y0,11/6/24,7:10:42 AM,election,2024 Election: Donald Trump projected to win Pennsylvania,ABC News,333422,2347,1166
JPtAKgLbufA,11/6/24,7:12:38 AM,election,Make America great again 2024! 😎 #election #trump #president #motovlog #viral #reels #trending #fyp,Slavsquad,827,65,4
TLTiN1w2ykw,11/6/24,7:21:54 AM,election,US election: Trump projected to win Pennsylvania | BBC News,BBC News,70332,703,479
5koCZPh1_LA,11/6/24,7:23:02 AM,election,"The Biggest Election Night Stream: Megyn Kelly, Ben Shapiro, Russell Brand, Jordan Peterson & More",The Rubin Report,879749,20432,348
zV4nKFTTvXI,11/6/24,7:31:47 AM,election,Donald Trump projected to win critical battleground state of Pennsylvania | US Election 2024,Sky News,25089,311,88
ScrS7CTCTeM,11/6/24,7:44:20 AM,election,Latur मधील चायनीजच्या गाड्या पाहून Raj Thackeray काय म्हणाले? |  Vidhan Sabha Election 2024,TV9 Marathi,16936,0,12
1IkVZkdjKpg,11/6/24,7:45:18 AM,election,Trump declares victory as election has yet to be called,CNBC Television,12208,390,53
IuXMp-M-tGs,11/6/24,7:49:29 AM,election,Donald Trump declares victory in US presidential election. #USElection #DonaldTrump #BBCNews,BBC News,78477,2976,362
